label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,J_fullscan_scanevent2,H_fullscan_scanevent2,L_fullscan_scanevent2,N_fullscan_scanevent2,I_fullscan_scanevent2,G_fullscan_scanevent2,E_fullscan_scanevent2,F_fullscan_scanevent2,J2_fullscan_scanevent2,K_fullscan_scanevent2,C_fullscan_scanevent2,A_fullscan_scanevent2,B_fullscan_scanevent2,D_fullscan_scanevent2
,610,619,0,830.782043,11.839,0.068391,,C13-label-8,TG(14:0_16:0_18:1),TG(14:0_16:0_18:1),C51H99O6N,0.008,0.881606,822.755676,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.00,73504.49,NA,0.00,111363.12,85304.77
,610,620,0,831.785645,11.799,0.061690,,C13-label-9,TG(14:0_16:0_18:1),TG(14:0_16:0_18:1),C51H99O6N,0.048,1.174057,822.755676,0.00,0.00,45451.79,0.00,0.00,NA,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.00
,621,621,10,868.739990,10.679,0.813131,[M+H]+,C12 PARENT,TG(14:0_16:0_22:6),TG(14:0_16:0_22:6),C55H97O6N,0.081,1.264629,868.739990,15010435.00,25104288.00,20938632.00,22106342.00,16038293.00,NA,9014061.00,29973168.00,45946804.00,54731372.00,NA,52274668.00,67574744.00,38855892.00
,621,622,2,869.743225,10.683,0.516084,,C13-label-1,TG(14:0_16:0_22:6),TG(14:0_16:0_22:6),C55H97O6N,0.077,1.192994,868.739990,9568412.00,14154109.00,12867383.00,15166185.00,9600102.00,NA,6142465.50,16995636.00,26327370.00,32729222.00,NA,34538932.00,40401516.00,25765752.00
,621,623,0,880.779053,10.733,0.072286,,C13-label-12,TG(14:0_16:0_22:6),TG(14:0_16:0_22:6),C55H97O6N,0.027,0.069297,868.739990,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.00,0.00,NA,102557.41,0.00,0.00
,621,624,0,882.786743,10.694,0.069601,,C13-label-14,TG(14:0_16:0_22:6),TG(14:0_16:0_22:6),C55H97O6N,0.066,1.037089,868.739990,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,97343.94,0.00,NA,0.00,173449.45,0.00
,621,625,0,883.789673,10.662,0.062767,,C13-label-15,TG(14:0_16:0_22:6),TG(14:0_16:0_22:6),C55H97O6N,0.098,0.552486,868.739990,0.00,0.00,75555.63,0.00,0.00,NA,0.00,0.00,0.00,0.00,NA,0.00,0.00,90930.09
,621,626,0,884.793335,10.614,0.063118,,C13-label-16,TG(14:0_16:0_22:6),TG(14:0_16:0_22:6),C55H97O6N,0.146,0.896772,868.739990,77485.09,0.00,0.00,0.00,0.00,NA,43399.62,0.00,102601.10,0.00,NA,76177.45,0.00,0.00
,621,627,0,886.799866,10.602,0.065927,,C13-label-18,TG(14:0_16:0_22:6),TG(14:0_16:0_22:6),C55H97O6N,0.158,0.688263,868.739990,72641.80,333696.72,76588.15,213262.31,131603.70,NA,223577.42,229249.44,292039.50,190927.94,NA,369673.88,343687.25,451703.25
,621,628,0,887.803040,10.607,0.063524,,C13-label-19,TG(14:0_16:0_22:6),TG(14:0_16:0_22:6),C55H97O6N,0.153,0.481240,868.739990,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,107296.78,86688.66,NA,110585.93,100735.62,96521.50
,621,629,0,870.744141,10.712,0.084124,,C13-label-2,TG(14:0_16:0_22:6),TG(14:0_16:0_22:6),C55H97O6N,0.048,1.612192,868.739990,819948.44,1452191.00,0.00,125049.49,713281.19,NA,809720.75,2198129.25,850840.81,727473.50,NA,1841236.38,2547978.25,1059894.38
,621,630,0,890.813354,10.609,0.061280,,C13-label-22,TG(14:0_16:0_22:6),TG(14:0_16:0_22:6),C55H97O6N,0.152,0.753679,868.739990,0.00,0.00,0.00,0.00,44908.12,NA,61154.79,0.00,0.00,0.00,NA,0.00,0.00,0.00
,621,631,0,896.833557,10.739,0.079882,,C13-label-28,TG(14:0_16:0_22:6),TG(14:0_16:0_22:6),C55H97O6N,0.021,0.884732,868.739990,282594.66,344019.41,116279.91,121001.82,167739.31,NA,0.00,572531.50,164795.69,82904.27,NA,0.00,0.00,123892.41
,621,632,0,871.747559,10.728,0.073885,,C13-label-3,TG(14:0_16:0_22:6),TG(14:0_16:0_22:6),C55H97O6N,0.032,1.540321,868.739990,0.00,701414.00,348154.25,615124.88,356825.66,NA,328784.72,0.00,0.00,226354.89,NA,639237.19,608134.12,437821.78
,621,633,0,914.893066,10.637,0.070140,,C13-label-46,TG(14:0_16:0_22:6),TG(14:0_16:0_22:6),C55H97O6N,0.123,0.133426,868.739990,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.00,0.00,NA,0.00,0.00,279377.78
,621,634,0,915.895081,10.655,0.065930,,C13-label-47,TG(14:0_16:0_22:6),TG(14:0_16:0_22:6),C55H97O6N,0.105,1.599355,868.739990,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.00,0.00,NA,0.00,0.00,104595.12
,621,635,0,874.760010,10.673,0.066767,,C13-label-6,TG(14:0_16:0_22:6),TG(14:0_16:0_22:6),C55H97O6N,0.087,1.186153,868.739990,0.00,115378.68,71065.63,116759.15,113205.66,NA,116711.79,0.00,120933.90,0.00,NA,78392.77,223074.86,158664.69
,621,636,0,875.762390,10.637,0.062817,,C13-label-7,TG(14:0_16:0_22:6),TG(14:0_16:0_22:6),C55H97O6N,0.123,0.069694,868.739990,0.00,0.00,51348.12,0.00,0.00,NA,0.00,0.00,0.00,0.00,NA,0.00,93988.59,0.00
,637,637,12,852.802734,13.409,0.820749,[M+H]+,C12 PARENT,TG(16:0_16:0_18:0),TG(16:0_16:0_18:0),C53H105O6N,0.028,1.502974,852.802734,45597696.00,65720652.00,55389916.00,65305508.00,58752480.00,NA,66278416.00,63389696.00,67452088.00,59798100.00,NA,76695840.00,65218764.00,92750360.00
,637,638,1,853.806152,13.416,0.689726,,C13-label-1,TG(16:0_16:0_18:0),TG(16:0_16:0_18:0),C53H105O6N,0.021,1.572694,852.802734,27611312.00,36902736.00,32706198.00,37510676.00,33972188.00,NA,38295276.00,37153584.00,40630956.00,31901590.00,NA,45224764.00,38946428.00,53432492.00
,637,639,4,854.809387,13.407,0.846151,,C13-label-2,TG(16:0_16:0_18:0),TG(16:0_16:0_18:0),C53H105O6N,0.030,1.428043,852.802734,7632517.50,10641387.00,9370171.00,12297688.00,10314213.00,NA,11401875.00,11796984.00,10915328.00,9807983.00,NA,13950397.00,11612759.00,16490845.00
,637,640,0,878.888977,13.471,0.071454,,C13-label-26,TG(16:0_16:0_18:0),TG(16:0_16:0_18:0),C53H105O6N,0.033,0.347229,852.802734,0.00,0.00,52395.59,79004.08,44723.38,NA,33722.45,0.00,0.00,0.00,NA,6266.62,0.00,115935.77
,637,641,0,879.892090,13.431,0.067057,,C13-label-27,TG(16:0_16:0_18:0),TG(16:0_16:0_18:0),C53H105O6N,0.006,0.069367,852.802734,57088.22,0.00,0.00,0.00,0.00,NA,22092.05,0.00,6962.45,0.00,NA,67753.18,0.00,45712.24
,637,642,2,855.812683,13.418,0.726226,,C13-label-3,TG(16:0_16:0_18:0),TG(16:0_16:0_18:0),C53H105O6N,0.019,1.355051,852.802734,1637379.88,2425734.25,2062085.38,2496459.25,2347437.25,NA,1972154.50,2543508.25,2235138.25,2099084.25,NA,3114052.75,2633925.75,4049650.00
,637,643,4,856.814758,13.410,0.809428,,C13-label-4,TG(16:0_16:0_18:0),TG(16:0_16:0_18:0),C53H105O6N,0.027,0.142470,852.802734,285483.00,430492.41,232495.00,626366.06,495248.50,NA,306015.75,556460.44,471478.34,639939.00,NA,469812.91,640342.50,879390.56
,637,644,2,857.817810,13.403,0.701711,,C13-label-5,TG(16:0_16:0_18:0),TG(16:0_16:0_18:0),C53H105O6N,0.034,0.498061,852.802734,39753.60,67962.02,49404.30,258859.25,46677.03,NA,28761.88,209632.58,109451.06,74800.72,NA,129732.95,115550.47,213494.44
,637,645,0,904.975342,13.449,0.076543,,C13-label-52,TG(16:0_16:0_18:0),TG(16:0_16:0_18:0),C53H105O6N,0.012,0.606996,852.802734,0.00,0.00,0.00,0.00,0.00,NA,0.00,114039.70,0.00,0.00,NA,0.00,0.00,0.00
,646,646,12,850.786926,12.602,0.821519,[M+H]+,C12 PARENT,TG(16:0_16:0_18:1),TG(16:0_16:0_18:1),C53H103O6N,0.021,1.291315,850.786926,635801664.00,760062464.00,611019968.00,787453376.00,597325056.00,NA,392607392.00,755483456.00,518796160.00,656907200.00,NA,650017536.00,558723392.00,659811840.00
,646,647,4,851.790283,12.611,0.671398,,C13-label-1,TG(16:0_16:0_18:1),TG(16:0_16:0_18:1),C53H103O6N,0.012,1.289794,850.786926,361564064.00,456390816.00,367505888.00,463909984.00,360996224.00,NA,244861008.00,441992960.00,311845888.00,391154528.00,NA,394203232.00,355544384.00,403777792.00
,646,648,0,866.840515,12.604,0.070416,,C13-label-16,TG(16:0_16:0_18:1),TG(16:0_16:0_18:1),C53H103O6N,0.019,1.196989,850.786926,0.00,0.00,0.00,0.00,0.00,NA,29877.68,0.00,0.00,0.00,NA,0.00,227473.92,0.00
,646,649,0,868.847534,12.621,0.085634,,C13-label-18,TG(16:0_16:0_18:1),TG(16:0_16:0_18:1),C53H103O6N,0.002,1.545467,850.786926,0.00,0.00,172089.41,287435.84,171326.00,NA,177663.25,0.00,600777.19,320171.84,NA,0.00,211149.75,265515.16
,646,650,2,852.793762,12.600,0.504090,,C13-label-2,TG(16:0_16:0_18:1),TG(16:0_16:0_18:1),C53H103O6N,0.023,1.431419,850.786926,112011328.00,145181328.00,128016128.00,187755088.00,129514344.00,NA,77531160.00,164036992.00,101445464.00,145821616.00,NA,142904144.00,126735936.00,145340656.00
,646,651,5,876.873291,12.639,0.719303,,C13-label-26,TG(16:0_16:0_18:1),TG(16:0_16:0_18:1),C53H103O6N,0.016,0.278422,850.786926,941835.31,1406785.38,559587.25,238212.58,694279.19,NA,373601.75,940995.81,436252.16,809008.00,NA,237794.08,882758.31,1089109.12
