isotopeLabel,compound,formula,M,H,L,N,I,G,E,F,J,K,C,A,B,D
C13-label-4,TG(16:0_16:0_18:0),C53H105O6N,285483,430492.41,232495,626366.06,495248.5,NA,306015.75,556460.44,471478.34,639939,NA,469812.91,640342.5,879390.56
C13-label-5,TG(16:0_16:0_18:0),C53H105O6N,39753.6,67962.02,49404.3,258859.25,46677.03,NA,28761.88,209632.58,109451.06,74800.72,NA,129732.95,115550.47,213494.44
C13-label-52,TG(16:0_16:0_18:0),C53H105O6N,0,0,0,0,0,NA,0,114039.7,0,0,NA,0,0,0
C12 PARENT,TG(16:0_16:0_18:1),C53H103O6N,635801664,760062464,611019968,787453376,597325056,NA,392607392,755483456,518796160,656907200,NA,650017536,558723392,659811840
C13-label-1,TG(16:0_16:0_18:1),C53H103O6N,361564064,456390816,367505888,463909984,360996224,NA,244861008,441992960,311845888,391154528,NA,394203232,355544384,403777792
C13-label-16,TG(16:0_16:0_18:1),C53H103O6N,0,0,0,0,0,NA,29877.68,0,0,0,NA,0,227473.92,0
C13-label-18,TG(16:0_16:0_18:1),C53H103O6N,0,0,172089.41,287435.84,171326,NA,177663.25,0,600777.19,320171.84,NA,0,211149.75,265515.16
C13-label-2,TG(16:0_16:0_18:1),C53H103O6N,112011328,145181328,128016128,187755088,129514344,NA,77531160,164036992,101445464,145821616,NA,142904144,126735936,145340656
C13-label-26,TG(16:0_16:0_18:1),C53H103O6N,941835.31,1406785.38,559587.25,238212.58,694279.19,NA,373601.75,940995.81,436252.16,809008,NA,237794.08,882758.31,1089109.12
C13-label-27,TG(16:0_16:0_18:1),C53H103O6N,328281.28,1106227.12,326527.09,26954.06,219333.3,NA,134930.36,145254.7,172799.28,261102.88,NA,161728.36,230772.61,400422.75
C13-label-28,TG(16:0_16:0_18:1),C53H103O6N,0,300554.41,0,0,0,NA,0,150155.92,0,0,NA,0,150644.41,0
C13-label-3,TG(16:0_16:0_18:1),C53H103O6N,23571912,34288540,32657534,51176948,33140666,NA,18906734,40989172,21301366,34999844,NA,37384920,36472668,37824516
C13-label-34,TG(16:0_16:0_18:1),C53H103O6N,0,0,0,0,0,NA,0,0,0,169617.86,NA,0,0,0
C13-label-35,TG(16:0_16:0_18:1),C53H103O6N,0,0,0,0,0,NA,111435.04,0,0,0,NA,0,0,0
C13-label-4,TG(16:0_16:0_18:1),C53H103O6N,4989347.5,8266929.5,10667469,20096306,11048491,NA,3656983.75,15522383,7315341.5,9711588,NA,11825649,16590229,11277919
C13-label-5,TG(16:0_16:0_18:1),C53H103O6N,1520399.62,1054261.38,3218957.25,6429676.5,3317459.25,NA,1451986,4919916.5,1878454,1760125.88,NA,1390404.12,5598597.5,3995884.75
C13-label-6,TG(16:0_16:0_18:1),C53H103O6N,414963.09,1658066.38,1412227,2993826.25,928338.19,NA,414809.03,1323530.62,460620.22,2041943.62,NA,1002187.19,2824142.75,1984380.38
C13-label-7,TG(16:0_16:0_18:1),C53H103O6N,171618.08,173724.73,436482.62,1163093.25,268280.97,NA,105987.38,765911.81,329929.09,28346.6,NA,314760.03,1188134.62,645421.44
C12 PARENT,TG(16:0_16:0_20:4),C55H101O6N,86347800,118231576,133370176,161092032,124197448,NA,88459328,125580480,152211040,159704512,NA,168722704,167846064,183328720
C13-label-1,TG(16:0_16:0_20:4),C55H101O6N,51641312,71518688,80250568,101606464,74288584,NA,56335924,78764032,92323200,103653720,NA,102931240,105925464,114052168
C13-label-14,TG(16:0_16:0_20:4),C55H101O6N,180048.95,421099.5,0,56946.52,0,NA,0,0,0,0,NA,92932.71,200251.67,138108
C13-label-15,TG(16:0_16:0_20:4),C55H101O6N,490476.38,665121.94,304131.25,264637.22,414373.88,NA,274634.72,1095662.75,563290.69,861710.75,NA,1000055.69,1499301,1115977.38
C13-label-16,TG(16:0_16:0_20:4),C55H101O6N,401229.91,768682.5,63384.67,243482.12,141473.78,NA,277191.62,597186.75,400907.25,765533.31,NA,694898.5,535300.25,776537.31
C13-label-2,TG(16:0_16:0_20:4),C55H101O6N,16426727,23089568,26004074,33380928,22259792,NA,15842912,16931418,29039200,33820500,NA,12686843,33151122,33717856
C13-label-22,TG(16:0_16:0_20:4),C55H101O6N,83386.85,0,0,0,0,NA,0,0,0,0,NA,0,123156.78,0
C13-label-26,TG(16:0_16:0_20:4),C55H101O6N,0,294828.62,77981.57,117565.12,263273.84,NA,50387.75,0,0,0,NA,93303.44,0,256826.14
C13-label-27,TG(16:0_16:0_20:4),C55H101O6N,0,129822.91,0,0,137734.08,NA,0,0,0,0,NA,0,0,0
C13-label-3,TG(16:0_16:0_20:4),C55H101O6N,4013649,2672399.25,3599345,8007363.5,5944498,NA,2379252,5915733.5,5885332.5,5990360,NA,4438724.5,8604961,7616733.5
C13-label-4,TG(16:0_16:0_20:4),C55H101O6N,678848.19,1690117,1574719.62,2420950.25,1580106.38,NA,512355.22,1162285.88,1239595.5,1805664.5,NA,1842985.62,2343311.5,2284186
C13-label-5,TG(16:0_16:0_20:4),C55H101O6N,113519.05,336563.06,260707.27,677824.94,454932.84,NA,243324.3,492445.41,657782.88,563836.38,NA,240684.02,518251.78,544400.44
C13-label-6,TG(16:0_16:0_20:4),C55H101O6N,0,139504.05,81455.59,328393.5,420752.72,NA,56468.04,191511.64,154842.73,145182.11,NA,165466.67,474200.41,185284.77
C13-label-7,TG(16:0_16:0_20:4),C55H101O6N,0,0,0,0,0,NA,0,0,0,0,NA,117980.94,283401.78,0
C12 PARENT,TG(16:0_16:1_18:1),C53H101O6N,983790144,2182779392,716117504,1049596736,717705792,NA,401266944,1921749632,741033920,1053895424,NA,1068298048,975098112,1069404672
C13-label-1,TG(16:0_16:1_18:1),C53H101O6N,553317568,1288829312,433817184,629077504,423225344,NA,249084288,1161507328,456973152,669660352,NA,679490880,599095808,668124672
C13-label-16,TG(16:0_16:1_18:1),C53H101O6N,319688.72,968218.19,346556.09,1174574.12,572710.31,NA,1071333,1616863.38,889212.81,1070179.12,NA,1343562.88,2477664.75,841314.69
C13-label-17,TG(16:0_16:1_18:1),C53H101O6N,1161854.88,1094253.12,2091255.62,1918388.88,848782.5,NA,2822556,2215576.75,3950621,2732444,NA,3436343.25,5444792,1779874.38
C13-label-18,TG(16:0_16:1_18:1),C53H101O6N,28256818,31840698,25424592,43871412,32726538,NA,41902428,52055872,52160116,46300332,NA,83053728,80404624,68458392
C13-label-19,TG(16:0_16:1_18:1),C53H101O6N,9352165,8898405,14558247,19529188,14791191,NA,17620024,21594138,20073376,19099598,NA,31748496,34821372,25222784
C13-label-2,TG(16:0_16:1_18:1),C53H101O6N,196379856,436270208,158369008,247061632,152972160,NA,81694296,436222112,143377664,249956736,NA,247836560,241375936,250976256
C13-label-20,TG(16:0_16:1_18:1),C53H101O6N,4120631.75,4015955.25,3144485.25,6866255.5,4197657.5,NA,4464142.5,6504997.5,6023784.5,3275200,NA,9551163,8717787,8764516
C13-label-21,TG(16:0_16:1_18:1),C53H101O6N,900451.5,527848.19,591759.5,2507464,1239895.12,NA,1515841.62,1439489.12,958611.06,1384344.62,NA,1055135.62,1961473,1357145.38
C13-label-22,TG(16:0_16:1_18:1),C53H101O6N,292872.94,0,263485.97,747476,440695.59,NA,169658.58,963152.25,691754.12,708226.19,NA,331129.16,1655916,394968.66
C13-label-3,TG(16:0_16:1_18:1),C53H101O6N,40928160,97193576,42168864,63652164,36985684,NA,19688080,109244616,32301808,56951696,NA,62799664,68010400,63320320
C13-label-34,TG(16:0_16:1_18:1),C53H101O6N,0,0,0,0,0,NA,0,0,0,0,NA,275073.62,0,0
C13-label-4,TG(16:0_16:1_18:1),C53H101O6N,11846167,25714490,11810121,24599800,11546140,NA,5488799.5,30277920,9121545,17034182,NA,17725446,26475466,16825266
C13-label-5,TG(16:0_16:1_18:1),C53H101O6N,3060346,7057040.5,2582703,7823852,3522175.25,NA,1580046.88,9502543,2810905.25,4123498.75,NA,5189998.5,9141019,5536006.5
C13-label-6,TG(16:0_16:1_18:1),C53H101O6N,1872152,2200271.75,1677051.38,3427679.75,1184633.25,NA,414870.66,3482083.25,1195041.38,2385006.25,NA,2567499,4039014.75,2714069.75
C13-label-7,TG(16:0_16:1_18:1),C53H101O6N,338020.91,124139.59,312753.97,422597.16,311925.16,NA,109551.6,986200.94,0,342984.66,NA,750294.5,1228339.38,185129.58
C13-label-8,TG(16:0_16:1_18:1),C53H101O6N,0,0,0,218953.06,0,NA,36063.56,337000.84,80086.78,154282.11,NA,159008.09,356027.72,0
C13-label-9,TG(16:0_16:1_18:1),C53H101O6N,0,291586.66,0,0,0,NA,0,201084.44,0,0,NA,0,500146.5,438520.47
C12 PARENT,TG(16:0_16:1_22:6),C57H99O6N,232115536,418042272,142184704,233907456,122404800,NA,97378944,398900128,262851216,386729600,NA,391205376,342810592,340598432
