Time difference of 9.764995 hours
reaction #73; stage LB; binary index 7; optim.step 5; tracer 13CAla
reaction #58; stage UB; binary index 8; optim.step 2; tracer 13CGln
reaction #84; stage LB; binary index 1; optim.step 2; tracer 13CLac
reaction #67; stage LB; binary index 1; optim.step 2; tracer 13CAla
reaction #86; stage UB; binary index 2; optim.step 6; tracer 13CGln
reaction #54; stage UB; binary index 7; optim.step 2; tracer 13CLinoKinA
reaction #6; stage UB; binary index 7; optim.step 3; tracer 13CLinoKinA
reaction #79; stage UB; binary index 6; optim.step 3; tracer 13CLac
# A tibble: 1 × 3
  flux.index flux.value  cost
       <dbl>      <dbl> <dbl>
1         11       38.9 0.124
reaction #89; stage LB; binary index 1; optim.step 2; tracer 13CLac
reaction #60; stage LB; binary index 8; optim.step 2; tracer 13CHB
reaction #19; stage LB; binary index 1; optim.step 2; tracer 13CLac
reaction #51; stage UB; binary index 8; optim.step 2; tracer 13CAla
reaction #9; stage LB; binary index 1; optim.step 2; tracer 13CHB
reaction #13; stage LB; binary index 1; optim.step 2; tracer 13CHB
reaction #22; stage LB; binary index 5; optim.step 4; tracer 13CLinoKinB
reaction #28; stage UB; binary index 7; optim.step 4; tracer 13CAla
reaction #92; stage LB; binary index 1; optim.step 2; tracer 13CHB
reaction #62; stage UB; binary index 8; optim.step 2; tracer 13CLac
reaction #25; stage UB; binary index 6; optim.step 1; tracer 13CHB
reaction #73; stage LB; binary index 7; optim.step 5; tracer 13CGln
reaction #58; stage UB; binary index 8; optim.step 2; tracer 13CHB
reaction #67; stage LB; binary index 1; optim.step 2; tracer 13CGln
reaction #84; stage LB; binary index 1; optim.step 2; tracer 13CGlycerol
reaction #54; stage UB; binary index 7; optim.step 2; tracer 13CLinoKinB
reaction #86; stage UB; binary index 2; optim.step 6; tracer 13CHB
reaction #6; stage UB; binary index 7; optim.step 3; tracer 13CLinoKinB
reaction #79; stage UB; binary index 6; optim.step 3; tracer 13CGlycerol
reaction #89; stage LB; binary index 1; optim.step 2; tracer 13CGlycerol
reaction #51; stage UB; binary index 8; optim.step 2; tracer 13CGln
reaction #60; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinA
reaction #22; stage LB; binary index 5; optim.step 4; tracer 13CLinoKinC
reaction #19; stage LB; binary index 1; optim.step 2; tracer 13CGlycerol
reaction #9; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinA
reaction #13; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinA
reaction #28; stage UB; binary index 7; optim.step 4; tracer 13CGln
reaction #92; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinA
reaction #25; stage UB; binary index 6; optim.step 1; tracer 13CLinoKinA
reaction #62; stage UB; binary index 8; optim.step 2; tracer 13CGlycerol
reaction #73; stage LB; binary index 7; optim.step 5; tracer 13CHB
reaction #58; stage UB; binary index 8; optim.step 2; tracer 13CLinoKinA
reaction #54; stage UB; binary index 7; optim.step 2; tracer 13CLinoKinC
reaction #67; stage LB; binary index 1; optim.step 2; tracer 13CHB
reaction #84; stage LB; binary index 1; optim.step 2; tracer 13CAla
reaction #86; stage UB; binary index 2; optim.step 6; tracer 13CLinoKinA
reaction #6; stage UB; binary index 7; optim.step 3; tracer 13CLinoKinC
reaction #79; stage UB; binary index 6; optim.step 3; tracer 13CAla
reaction #89; stage LB; binary index 1; optim.step 2; tracer 13CAla
reaction #60; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinB
reaction #22; stage LB; binary index 5; optim.step 4; tracer 13CLinoKinD
reaction #51; stage UB; binary index 8; optim.step 2; tracer 13CHB
reaction #9; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinB
reaction #13; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinB
reaction #19; stage LB; binary index 1; optim.step 2; tracer 13CAla
reaction #92; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinB
reaction #28; stage UB; binary index 7; optim.step 4; tracer 13CHB
reaction #25; stage UB; binary index 6; optim.step 1; tracer 13CLinoKinB
reaction #62; stage UB; binary index 8; optim.step 2; tracer 13CAla
reaction #58; stage UB; binary index 8; optim.step 2; tracer 13CLinoKinB
reaction #73; stage LB; binary index 7; optim.step 5; tracer 13CLinoKinA
reaction #54; stage UB; binary index 7; optim.step 2; tracer 13CLinoKinD
reaction #86; stage UB; binary index 2; optim.step 6; tracer 13CLinoKinB
reaction #6; stage UB; binary index 7; optim.step 3; tracer 13CLinoKinD
reaction #84; stage LB; binary index 1; optim.step 2; tracer 13CGln
reaction #67; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinA
reaction #79; stage UB; binary index 6; optim.step 3; tracer 13CGln
reaction #89; stage LB; binary index 1; optim.step 2; tracer 13CGln
reaction #60; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinC
reaction #22; stage LB; binary index 5; optim.step 4; tracer 13CLinoKinE
reaction #13; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinC
reaction #9; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinC
reaction #51; stage UB; binary index 8; optim.step 2; tracer 13CLinoKinA
reaction #19; stage LB; binary index 1; optim.step 2; tracer 13CGln
reaction #92; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinC
reaction #28; stage UB; binary index 7; optim.step 4; tracer 13CLinoKinA
reaction #25; stage UB; binary index 6; optim.step 1; tracer 13CLinoKinC
reaction #62; stage UB; binary index 8; optim.step 2; tracer 13CGln
reaction #73; stage LB; binary index 7; optim.step 5; tracer 13CLinoKinB
reaction #58; stage UB; binary index 8; optim.step 2; tracer 13CLinoKinC
reaction #54; stage UB; binary index 7; optim.step 2; tracer 13CLinoKinE
reaction #86; stage UB; binary index 2; optim.step 6; tracer 13CLinoKinC
reaction #67; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinB
reaction #6; stage UB; binary index 7; optim.step 3; tracer 13CLinoKinE
reaction #84; stage LB; binary index 1; optim.step 2; tracer 13CHB
reaction #79; stage UB; binary index 6; optim.step 3; tracer 13CHB
reaction #60; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinD
reaction #22; stage LB; binary index 5; optim.step 4; tracer 13CLinoKinF
reaction #89; stage LB; binary index 1; optim.step 2; tracer 13CHB
reaction #13; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinD
reaction #9; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinD
reaction #51; stage UB; binary index 8; optim.step 2; tracer 13CLinoKinB
reaction #92; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinD
reaction #19; stage LB; binary index 1; optim.step 2; tracer 13CHB
reaction #28; stage UB; binary index 7; optim.step 4; tracer 13CLinoKinB
reaction #25; stage UB; binary index 6; optim.step 1; tracer 13CLinoKinD
reaction #62; stage UB; binary index 8; optim.step 2; tracer 13CHB
reaction #58; stage UB; binary index 8; optim.step 2; tracer 13CLinoKinD
reaction #73; stage LB; binary index 7; optim.step 5; tracer 13CLinoKinC
reaction #54; stage UB; binary index 7; optim.step 2; tracer 13CLinoKinF
reaction #86; stage UB; binary index 2; optim.step 6; tracer 13CLinoKinD
reaction #67; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinC
reaction #6; stage UB; binary index 7; optim.step 3; tracer 13CLinoKinF
reaction #84; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinA
reaction #79; stage UB; binary index 6; optim.step 3; tracer 13CLinoKinA
reaction #60; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinE
reaction #22; stage LB; binary index 5; optim.step 4; tracer 13CLinoKinG
reaction #9; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinE
reaction #13; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinE
reaction #51; stage UB; binary index 8; optim.step 2; tracer 13CLinoKinC
reaction #89; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinA
reaction #92; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinE
reaction #28; stage UB; binary index 7; optim.step 4; tracer 13CLinoKinC
reaction #19; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinA
reaction #25; stage UB; binary index 6; optim.step 1; tracer 13CLinoKinE
reaction #73; stage LB; binary index 7; optim.step 5; tracer 13CLinoKinD
reaction #58; stage UB; binary index 8; optim.step 2; tracer 13CLinoKinE
reaction #54; stage UB; binary index 7; optim.step 2; tracer 13CLinoKinG
reaction #62; stage UB; binary index 8; optim.step 2; tracer 13CLinoKinA
reaction #86; stage UB; binary index 2; optim.step 6; tracer 13CLinoKinE
reaction #67; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinD
reaction #6; stage UB; binary index 7; optim.step 3; tracer 13CLinoKinG
reaction #84; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinB
reaction #79; stage UB; binary index 6; optim.step 3; tracer 13CLinoKinB
reaction #60; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinF
reaction #22; stage LB; binary index 5; optim.step 4; tracer 13CLinoKinH
reaction #9; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinF
reaction #51; stage UB; binary index 8; optim.step 2; tracer 13CLinoKinD
reaction #13; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinF
reaction #89; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinB
reaction #92; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinF
reaction #28; stage UB; binary index 7; optim.step 4; tracer 13CLinoKinD
reaction #19; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinB
reaction #25; stage UB; binary index 6; optim.step 1; tracer 13CLinoKinF
reaction #58; stage UB; binary index 8; optim.step 2; tracer 13CLinoKinF
reaction #73; stage LB; binary index 7; optim.step 5; tracer 13CLinoKinE
reaction #54; stage UB; binary index 7; optim.step 2; tracer 13CLinoKinH
reaction #62; stage UB; binary index 8; optim.step 2; tracer 13CLinoKinB
reaction #86; stage UB; binary index 2; optim.step 6; tracer 13CLinoKinF
reaction #67; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinE
reaction #6; stage UB; binary index 7; optim.step 3; tracer 13CLinoKinH
reaction #84; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinC
reaction #79; stage UB; binary index 6; optim.step 3; tracer 13CLinoKinC
reaction #60; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinG
reaction #22; stage LB; binary index 5; optim.step 4; tracer 13CLinoKinI
reaction #9; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinG
reaction #13; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinG
reaction #51; stage UB; binary index 8; optim.step 2; tracer 13CLinoKinE
reaction #89; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinC
reaction #92; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinG
reaction #28; stage UB; binary index 7; optim.step 4; tracer 13CLinoKinE
reaction #19; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinC
reaction #25; stage UB; binary index 6; optim.step 1; tracer 13CLinoKinG
reaction #58; stage UB; binary index 8; optim.step 2; tracer 13CLinoKinG
reaction #73; stage LB; binary index 7; optim.step 5; tracer 13CLinoKinF
reaction #54; stage UB; binary index 7; optim.step 2; tracer 13CLinoKinI
reaction #62; stage UB; binary index 8; optim.step 2; tracer 13CLinoKinC
reaction #86; stage UB; binary index 2; optim.step 6; tracer 13CLinoKinG
reaction #67; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinF
reaction #6; stage UB; binary index 7; optim.step 3; tracer 13CLinoKinI
reaction #84; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinD
reaction #79; stage UB; binary index 6; optim.step 3; tracer 13CLinoKinD
reaction #60; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinH
reaction #22; stage LB; binary index 5; optim.step 4; tracer 13CLinoKinJ
reaction #9; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinH
reaction #51; stage UB; binary index 8; optim.step 2; tracer 13CLinoKinF
reaction #13; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinH
reaction #89; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinD
reaction #92; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinH
reaction #28; stage UB; binary index 7; optim.step 4; tracer 13CLinoKinF
reaction #19; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinD
reaction #25; stage UB; binary index 6; optim.step 1; tracer 13CLinoKinH
reaction #58; stage UB; binary index 8; optim.step 2; tracer 13CLinoKinH
reaction #73; stage LB; binary index 7; optim.step 5; tracer 13CLinoKinG
reaction #54; stage UB; binary index 7; optim.step 2; tracer 13CLinoKinJ
reaction #62; stage UB; binary index 8; optim.step 2; tracer 13CLinoKinD
reaction #67; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinG
reaction #86; stage UB; binary index 2; optim.step 6; tracer 13CLinoKinH
reaction #6; stage UB; binary index 7; optim.step 3; tracer 13CLinoKinJ
reaction #84; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinE
reaction #79; stage UB; binary index 6; optim.step 3; tracer 13CLinoKinE
reaction #60; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinI
reaction #22; stage LB; binary index 5; optim.step 4; tracer 13ChpAAb
reaction #9; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinI
reaction #13; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinI
reaction #51; stage UB; binary index 8; optim.step 2; tracer 13CLinoKinG
reaction #92; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinI
reaction #89; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinE
reaction #28; stage UB; binary index 7; optim.step 4; tracer 13CLinoKinG
reaction #19; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinE
reaction #25; stage UB; binary index 6; optim.step 1; tracer 13CLinoKinI
reaction #58; stage UB; binary index 8; optim.step 2; tracer 13CLinoKinI
reaction #73; stage LB; binary index 7; optim.step 5; tracer 13CLinoKinH
reaction #54; stage UB; binary index 7; optim.step 2; tracer 13ChpAAb
reaction #62; stage UB; binary index 8; optim.step 2; tracer 13CLinoKinE
reaction #67; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinH
reaction #86; stage UB; binary index 2; optim.step 6; tracer 13CLinoKinI
reaction #6; stage UB; binary index 7; optim.step 3; tracer 13ChpAAb
reaction #84; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinF
reaction #79; stage UB; binary index 6; optim.step 3; tracer 13CLinoKinF
reaction #60; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinJ
reaction #22; stage LB; binary index 5; optim.step 4; tracer 13ChpAAc
reaction #9; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinJ
reaction #13; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinJ
reaction #89; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinF
reaction #51; stage UB; binary index 8; optim.step 2; tracer 13CLinoKinH
reaction #92; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinJ
reaction #28; stage UB; binary index 7; optim.step 4; tracer 13CLinoKinH
reaction #19; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinF
reaction #25; stage UB; binary index 6; optim.step 1; tracer 13CLinoKinJ
reaction #58; stage UB; binary index 8; optim.step 2; tracer 13CLinoKinJ
reaction #73; stage LB; binary index 7; optim.step 5; tracer 13CLinoKinI
reaction #54; stage UB; binary index 7; optim.step 2; tracer 13ChpAAc
reaction #62; stage UB; binary index 8; optim.step 2; tracer 13CLinoKinF
reaction #6; stage UB; binary index 7; optim.step 3; tracer 13ChpAAc
reaction #67; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinI
reaction #86; stage UB; binary index 2; optim.step 6; tracer 13CLinoKinJ
reaction #84; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinG
reaction #79; stage UB; binary index 6; optim.step 3; tracer 13CLinoKinG
reaction #60; stage LB; binary index 8; optim.step 2; tracer 13ChpAAb
reaction #22; stage LB; binary index 5; optim.step 4; tracer 13ChpAAd
reaction #9; stage LB; binary index 1; optim.step 2; tracer 13ChpAAb
reaction #51; stage UB; binary index 8; optim.step 2; tracer 13CLinoKinI
reaction #13; stage LB; binary index 1; optim.step 2; tracer 13ChpAAb
reaction #89; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinG
reaction #92; stage LB; binary index 1; optim.step 2; tracer 13ChpAAb
reaction #28; stage UB; binary index 7; optim.step 4; tracer 13CLinoKinI
reaction #19; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinG
reaction #25; stage UB; binary index 6; optim.step 1; tracer 13ChpAAb
reaction #58; stage UB; binary index 8; optim.step 2; tracer 13ChpAAb
reaction #73; stage LB; binary index 7; optim.step 5; tracer 13CLinoKinJ
reaction #54; stage UB; binary index 7; optim.step 2; tracer 13ChpAAd
reaction #62; stage UB; binary index 8; optim.step 2; tracer 13CLinoKinG
reaction #6; stage UB; binary index 7; optim.step 3; tracer 13ChpAAd
reaction #84; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinH
reaction #67; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinJ
reaction #86; stage UB; binary index 2; optim.step 6; tracer 13ChpAAb
reaction #79; stage UB; binary index 6; optim.step 3; tracer 13CLinoKinH
reaction #60; stage LB; binary index 8; optim.step 2; tracer 13ChpAAc
reaction #22; stage LB; binary index 5; optim.step 4; tracer 13ChpAAe
reaction #9; stage LB; binary index 1; optim.step 2; tracer 13ChpAAc
reaction #13; stage LB; binary index 1; optim.step 2; tracer 13ChpAAc
reaction #51; stage UB; binary index 8; optim.step 2; tracer 13CLinoKinJ
reaction #92; stage LB; binary index 1; optim.step 2; tracer 13ChpAAc
reaction #89; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinH
reaction #28; stage UB; binary index 7; optim.step 4; tracer 13CLinoKinJ
reaction #19; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinH
reaction #25; stage UB; binary index 6; optim.step 1; tracer 13ChpAAc
reaction #58; stage UB; binary index 8; optim.step 2; tracer 13ChpAAc
reaction #73; stage LB; binary index 7; optim.step 5; tracer 13ChpAAb
reaction #54; stage UB; binary index 7; optim.step 2; tracer 13ChpAAe
reaction #62; stage UB; binary index 8; optim.step 2; tracer 13CLinoKinH
reaction #67; stage LB; binary index 1; optim.step 2; tracer 13ChpAAb
reaction #6; stage UB; binary index 7; optim.step 3; tracer 13ChpAAe
reaction #86; stage UB; binary index 2; optim.step 6; tracer 13ChpAAc
reaction #84; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinI
reaction #79; stage UB; binary index 6; optim.step 3; tracer 13CLinoKinI
reaction #60; stage LB; binary index 8; optim.step 2; tracer 13ChpAAd
reaction #22; stage LB; binary index 5; optim.step 4; tracer 13ChpAAf
reaction #9; stage LB; binary index 1; optim.step 2; tracer 13ChpAAd
reaction #13; stage LB; binary index 1; optim.step 2; tracer 13ChpAAd
reaction #51; stage UB; binary index 8; optim.step 2; tracer 13ChpAAb
reaction #89; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinI
reaction #92; stage LB; binary index 1; optim.step 2; tracer 13ChpAAd
reaction #28; stage UB; binary index 7; optim.step 4; tracer 13ChpAAb
reaction #19; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinI
reaction #25; stage UB; binary index 6; optim.step 1; tracer 13ChpAAd
reaction #58; stage UB; binary index 8; optim.step 2; tracer 13ChpAAd
reaction #73; stage LB; binary index 7; optim.step 5; tracer 13ChpAAc
reaction #54; stage UB; binary index 7; optim.step 2; tracer 13ChpAAf
reaction #62; stage UB; binary index 8; optim.step 2; tracer 13CLinoKinI
reaction #6; stage UB; binary index 7; optim.step 3; tracer 13ChpAAf
reaction #67; stage LB; binary index 1; optim.step 2; tracer 13ChpAAc
reaction #86; stage UB; binary index 2; optim.step 6; tracer 13ChpAAd
reaction #84; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinJ
reaction #79; stage UB; binary index 6; optim.step 3; tracer 13CLinoKinJ
reaction #60; stage LB; binary index 8; optim.step 2; tracer 13ChpAAe
reaction #22; stage LB; binary index 5; optim.step 4; tracer 13ChpAAj
reaction #9; stage LB; binary index 1; optim.step 2; tracer 13ChpAAe
reaction #13; stage LB; binary index 1; optim.step 2; tracer 13ChpAAe
reaction #51; stage UB; binary index 8; optim.step 2; tracer 13ChpAAc
reaction #92; stage LB; binary index 1; optim.step 2; tracer 13ChpAAe
reaction #28; stage UB; binary index 7; optim.step 4; tracer 13ChpAAc
reaction #89; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinJ
reaction #19; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinJ
reaction #25; stage UB; binary index 6; optim.step 1; tracer 13ChpAAe
reaction #58; stage UB; binary index 8; optim.step 2; tracer 13ChpAAe
reaction #73; stage LB; binary index 7; optim.step 5; tracer 13ChpAAd
reaction #54; stage UB; binary index 7; optim.step 2; tracer 13ChpAAj
reaction #62; stage UB; binary index 8; optim.step 2; tracer 13CLinoKinJ
reaction #6; stage UB; binary index 7; optim.step 3; tracer 13ChpAAj
reaction #67; stage LB; binary index 1; optim.step 2; tracer 13ChpAAd
reaction #84; stage LB; binary index 1; optim.step 2; tracer 13ChpAAb
reaction #86; stage UB; binary index 2; optim.step 6; tracer 13ChpAAe
reaction #79; stage UB; binary index 6; optim.step 3; tracer 13ChpAAb
reaction #60; stage LB; binary index 8; optim.step 2; tracer 13ChpAAf
reaction #22; stage LB; binary index 5; optim.step 4; tracer 13ChpAAk
reaction #9; stage LB; binary index 1; optim.step 2; tracer 13ChpAAf
reaction #13; stage LB; binary index 1; optim.step 2; tracer 13ChpAAf
reaction #51; stage UB; binary index 8; optim.step 2; tracer 13ChpAAd
reaction #92; stage LB; binary index 1; optim.step 2; tracer 13ChpAAf
reaction #28; stage UB; binary index 7; optim.step 4; tracer 13ChpAAd
reaction #19; stage LB; binary index 1; optim.step 2; tracer 13ChpAAb
reaction #25; stage UB; binary index 6; optim.step 1; tracer 13ChpAAf
reaction #89; stage LB; binary index 1; optim.step 2; tracer 13ChpAAb
reaction #58; stage UB; binary index 8; optim.step 2; tracer 13ChpAAf
reaction #73; stage LB; binary index 7; optim.step 5; tracer 13ChpAAe
reaction #54; stage UB; binary index 7; optim.step 2; tracer 13ChpAAk
reaction #62; stage UB; binary index 8; optim.step 2; tracer 13ChpAAb
reaction #6; stage UB; binary index 7; optim.step 3; tracer 13ChpAAk
reaction #67; stage LB; binary index 1; optim.step 2; tracer 13ChpAAe
reaction #86; stage UB; binary index 2; optim.step 6; tracer 13ChpAAf
reaction #84; stage LB; binary index 1; optim.step 2; tracer 13ChpAAc
reaction #79; stage UB; binary index 6; optim.step 3; tracer 13ChpAAc
reaction #60; stage LB; binary index 8; optim.step 2; tracer 13ChpAAj
reaction #22; stage LB; binary index 5; optim.step 4; tracer 13ChpAAl
reaction #9; stage LB; binary index 1; optim.step 2; tracer 13ChpAAj
reaction #13; stage LB; binary index 1; optim.step 2; tracer 13ChpAAj
reaction #51; stage UB; binary index 8; optim.step 2; tracer 13ChpAAe
reaction #92; stage LB; binary index 1; optim.step 2; tracer 13ChpAAj
reaction #28; stage UB; binary index 7; optim.step 4; tracer 13ChpAAe
reaction #89; stage LB; binary index 1; optim.step 2; tracer 13ChpAAc
reaction #25; stage UB; binary index 6; optim.step 1; tracer 13ChpAAj
reaction #19; stage LB; binary index 1; optim.step 2; tracer 13ChpAAc
reaction #58; stage UB; binary index 8; optim.step 2; tracer 13ChpAAj
reaction #73; stage LB; binary index 7; optim.step 5; tracer 13ChpAAf
reaction #54; stage UB; binary index 7; optim.step 2; tracer 13ChpAAl
reaction #62; stage UB; binary index 8; optim.step 2; tracer 13ChpAAc
reaction #6; stage UB; binary index 7; optim.step 3; tracer 13ChpAAl
reaction #67; stage LB; binary index 1; optim.step 2; tracer 13ChpAAf
reaction #86; stage UB; binary index 2; optim.step 6; tracer 13ChpAAj
reaction #84; stage LB; binary index 1; optim.step 2; tracer 13ChpAAd
reaction #79; stage UB; binary index 6; optim.step 3; tracer 13ChpAAd
reaction #60; stage LB; binary index 8; optim.step 2; tracer 13ChpAAk
reaction #22; stage LB; binary index 5; optim.step 5; tracer 13CGlc
reaction #9; stage LB; binary index 1; optim.step 2; tracer 13ChpAAk
reaction #13; stage LB; binary index 1; optim.step 2; tracer 13ChpAAk
reaction #51; stage UB; binary index 8; optim.step 2; tracer 13ChpAAf
reaction #92; stage LB; binary index 1; optim.step 2; tracer 13ChpAAk
reaction #28; stage UB; binary index 7; optim.step 4; tracer 13ChpAAf
reaction #25; stage UB; binary index 6; optim.step 1; tracer 13ChpAAk
reaction #19; stage LB; binary index 1; optim.step 2; tracer 13ChpAAd
reaction #89; stage LB; binary index 1; optim.step 2; tracer 13ChpAAd
reaction #58; stage UB; binary index 8; optim.step 2; tracer 13ChpAAk
reaction #73; stage LB; binary index 7; optim.step 5; tracer 13ChpAAj
reaction #54; stage UB; binary index 7; optim.step 3; tracer 13CGlc
reaction #6; stage UB; binary index 7; optim.step 4; tracer 13CGlc
reaction #62; stage UB; binary index 8; optim.step 2; tracer 13ChpAAd
reaction #67; stage LB; binary index 1; optim.step 2; tracer 13ChpAAj
reaction #86; stage UB; binary index 2; optim.step 6; tracer 13ChpAAk
reaction #84; stage LB; binary index 1; optim.step 2; tracer 13ChpAAe
reaction #79; stage UB; binary index 6; optim.step 3; tracer 13ChpAAe
reaction #60; stage LB; binary index 8; optim.step 2; tracer 13ChpAAl
reaction #9; stage LB; binary index 1; optim.step 2; tracer 13ChpAAl
reaction #22; stage LB; binary index 5; optim.step 5; tracer 13CLac
reaction #13; stage LB; binary index 1; optim.step 2; tracer 13ChpAAl
reaction #51; stage UB; binary index 8; optim.step 2; tracer 13ChpAAj
reaction #92; stage LB; binary index 1; optim.step 2; tracer 13ChpAAl
reaction #28; stage UB; binary index 7; optim.step 4; tracer 13ChpAAj
reaction #25; stage UB; binary index 6; optim.step 1; tracer 13ChpAAl
reaction #19; stage LB; binary index 1; optim.step 2; tracer 13ChpAAe
reaction #89; stage LB; binary index 1; optim.step 2; tracer 13ChpAAe
reaction #58; stage UB; binary index 8; optim.step 2; tracer 13ChpAAl
reaction #73; stage LB; binary index 7; optim.step 5; tracer 13ChpAAk
reaction #62; stage UB; binary index 8; optim.step 2; tracer 13ChpAAe
reaction #54; stage UB; binary index 7; optim.step 3; tracer 13CLac
reaction #67; stage LB; binary index 1; optim.step 2; tracer 13ChpAAk
reaction #86; stage UB; binary index 2; optim.step 6; tracer 13ChpAAl
reaction #84; stage LB; binary index 1; optim.step 2; tracer 13ChpAAf
reaction #79; stage UB; binary index 6; optim.step 3; tracer 13ChpAAf
reaction #6; stage UB; binary index 7; optim.step 4; tracer 13CLac
reaction #60; stage LB; binary index 8; optim.step 3; tracer 13CGlc
reaction #9; stage LB; binary index 1; optim.step 3; tracer 13CGlc
reaction #13; stage LB; binary index 1; optim.step 3; tracer 13CGlc
reaction #51; stage UB; binary index 8; optim.step 2; tracer 13ChpAAk
reaction #92; stage LB; binary index 1; optim.step 3; tracer 13CGlc
reaction #22; stage LB; binary index 5; optim.step 5; tracer 13CGlycerol
reaction #28; stage UB; binary index 7; optim.step 4; tracer 13ChpAAk
reaction #25; stage UB; binary index 6; optim.step 2; tracer 13CGlc
reaction #19; stage LB; binary index 1; optim.step 2; tracer 13ChpAAf
reaction #89; stage LB; binary index 1; optim.step 2; tracer 13ChpAAf
reaction #58; stage UB; binary index 8; optim.step 3; tracer 13CGlc
reaction #73; stage LB; binary index 7; optim.step 5; tracer 13ChpAAl
reaction #62; stage UB; binary index 8; optim.step 2; tracer 13ChpAAf
reaction #67; stage LB; binary index 1; optim.step 2; tracer 13ChpAAl
reaction #86; stage UB; binary index 2; optim.step 7; tracer 13CGlc
reaction #84; stage LB; binary index 1; optim.step 2; tracer 13ChpAAj
