Time difference of 9.764995 hours
reaction #19; stage UB; binary index 1; optim.step 2; tracer 13CGlc
reaction #67; stage UB; binary index 1; optim.step 2; tracer 13CGlc
reaction #13; stage UB; binary index 1; optim.step 2; tracer 13CGlycerol
reaction #5; stage LB; binary index 8; optim.step 4; tracer 13CGlycerol
reaction #85; stage LB; binary index 4; optim.step 4; tracer 13CGlycerol
reaction #28; stage UB; binary index 1; optim.step 2; tracer 13CGlycerol
reaction #73; stage UB; binary index 7; optim.step 5; tracer 13CAla
reaction #23; stage LB; binary index 7; optim.step 1; tracer 13CGlycerol
reaction #22; stage UB; binary index 5; optim.step 4; tracer 13CHB
reaction #84; stage UB; binary index 1; optim.step 2; tracer 13CGlc
reaction #75; stage LB; binary index 8; optim.step 3; tracer 13CLac
reaction #56; stage UB; binary index 8; optim.step 2; tracer 13CGlycerol
reaction #62; stage UB; binary index 1; optim.step 2; tracer 13CGlc
reaction #92; stage UB; binary index 1; optim.step 2; tracer 13CGlycerol
reaction #51; stage UB; binary index 1; optim.step 2; tracer 13CGlc
reaction #53; stage UB; binary index 8; optim.step 2; tracer 13CHB
reaction #89; stage UB; binary index 1; optim.step 2; tracer 13CLac
reaction #58; stage UB; binary index 1; optim.step 2; tracer 13CGlycerol
reaction #60; stage LB; binary index 1; optim.step 2; tracer 13CGln
reaction #65; stage UB; binary index 8; optim.step 2; tracer 13CAla
reaction #69; stage UB; binary index 8; optim.step 2; tracer 13CHB
reaction #9; stage UB; binary index 1; optim.step 2; tracer 13CGlycerol
reaction #19; stage UB; binary index 1; optim.step 2; tracer 13CLac
reaction #11; stage LB; binary index 2; optim.step 1; tracer 13CLac
reaction #13; stage UB; binary index 1; optim.step 2; tracer 13CAla
reaction #5; stage LB; binary index 8; optim.step 4; tracer 13CAla
reaction #67; stage UB; binary index 1; optim.step 2; tracer 13CLac
reaction #85; stage LB; binary index 4; optim.step 4; tracer 13CAla
reaction #28; stage UB; binary index 1; optim.step 2; tracer 13CAla
reaction #73; stage UB; binary index 7; optim.step 5; tracer 13CGln
reaction #23; stage LB; binary index 7; optim.step 1; tracer 13CAla
reaction #22; stage UB; binary index 5; optim.step 4; tracer 13CLinoKinA
reaction #75; stage LB; binary index 8; optim.step 3; tracer 13CGlycerol
reaction #84; stage UB; binary index 1; optim.step 2; tracer 13CLac
reaction #56; stage UB; binary index 8; optim.step 2; tracer 13CAla
reaction #62; stage UB; binary index 1; optim.step 2; tracer 13CLac
reaction #92; stage UB; binary index 1; optim.step 2; tracer 13CAla
reaction #53; stage UB; binary index 8; optim.step 2; tracer 13CLinoKinA
reaction #51; stage UB; binary index 1; optim.step 2; tracer 13CLac
reaction #89; stage UB; binary index 1; optim.step 2; tracer 13CGlycerol
reaction #58; stage UB; binary index 1; optim.step 2; tracer 13CAla
reaction #65; stage UB; binary index 8; optim.step 2; tracer 13CGln
reaction #60; stage LB; binary index 1; optim.step 2; tracer 13CHB
reaction #69; stage UB; binary index 8; optim.step 2; tracer 13CLinoKinA
reaction #9; stage UB; binary index 1; optim.step 2; tracer 13CAla
reaction #13; stage UB; binary index 1; optim.step 2; tracer 13CGln
reaction #5; stage LB; binary index 8; optim.step 4; tracer 13CGln
reaction #19; stage UB; binary index 1; optim.step 2; tracer 13CGlycerol
reaction #11; stage LB; binary index 2; optim.step 1; tracer 13CGlycerol
reaction #67; stage UB; binary index 1; optim.step 2; tracer 13CGlycerol
reaction #85; stage LB; binary index 4; optim.step 4; tracer 13CGln
reaction #28; stage UB; binary index 1; optim.step 2; tracer 13CGln
reaction #73; stage UB; binary index 7; optim.step 5; tracer 13CHB
reaction #23; stage LB; binary index 7; optim.step 1; tracer 13CGln
reaction #22; stage UB; binary index 5; optim.step 4; tracer 13CLinoKinB
reaction #75; stage LB; binary index 8; optim.step 3; tracer 13CAla
reaction #56; stage UB; binary index 8; optim.step 2; tracer 13CGln
reaction #84; stage UB; binary index 1; optim.step 2; tracer 13CGlycerol
reaction #92; stage UB; binary index 1; optim.step 2; tracer 13CGln
reaction #53; stage UB; binary index 8; optim.step 2; tracer 13CLinoKinB
reaction #62; stage UB; binary index 1; optim.step 2; tracer 13CGlycerol
reaction #51; stage UB; binary index 1; optim.step 2; tracer 13CGlycerol
reaction #89; stage UB; binary index 1; optim.step 2; tracer 13CAla
reaction #58; stage UB; binary index 1; optim.step 2; tracer 13CGln
reaction #69; stage UB; binary index 8; optim.step 2; tracer 13CLinoKinB
reaction #60; stage LB; binary index 1; optim.step 2; tracer 13CLinoKinA
reaction #65; stage UB; binary index 8; optim.step 2; tracer 13CHB
reaction #9; stage UB; binary index 1; optim.step 2; tracer 13CGln
reaction #13; stage UB; binary index 1; optim.step 2; tracer 13CHB
reaction #19; stage UB; binary index 1; optim.step 2; tracer 13CAla
reaction #5; stage LB; binary index 8; optim.step 4; tracer 13CHB
reaction #11; stage LB; binary index 2; optim.step 1; tracer 13CAla
reaction #67; stage UB; binary index 1; optim.step 2; tracer 13CAla
