Time difference of 6.203875 hours
net flux v5-v6; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinE
reaction #66; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinG
sum of fluxes v65+v66+v67+v68+v69+v70; stage LB; binary index 2; optim.step 1; tracer 13CGln
reaction #27; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinI
reaction #5; stage UB; binary index 7; optim.step 4; tracer 13CLinoKinI
sum of fluxes v55+v56+v57+v58+v59+v60+v61; stage LB; binary index 2; optim.step 1; tracer 13CAla
net flux v75-v73; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinE
reaction #54; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinI
reaction #60; stage LB; binary index 2; optim.step 1; tracer 13ChpAAb
reaction #83; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinJ
reaction #10; stage LB; binary index 2; optim.step 1; tracer 13ChpAAb
reaction #65; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinI
reaction #12; stage LB; binary index 1; optim.step 5; tracer 13CLinoKinH
reaction #89; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinJ
reaction #92; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinI
reaction #8; stage LB; binary index 2; optim.step 1; tracer 13ChpAAc
reaction #79; stage LB; binary index 1; optim.step 5; tracer 13CLinoKinH
reaction #19; stage LB; binary index 2; optim.step 1; tracer 13ChpAAb
reaction #86; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinJ
reaction #63; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinJ
reaction #21; stage UB; binary index 7; optim.step 6; tracer 13ChpAAb
reaction #52; stage UB; binary index 1; optim.step 1; tracer 13ChpAAb
reaction #56; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinH
reaction #58; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinJ
reaction #23; stage LB; binary index 1; optim.step 1; tracer 13CLinoKinH
net flux v87-v89; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinF
reaction #73; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinJ
reaction #70; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinI
net flux v5-v6; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinF
reaction #66; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinH
reaction #27; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinJ
sum of fluxes v65+v66+v67+v68+v69+v70; stage LB; binary index 2; optim.step 1; tracer 13CHB
reaction #5; stage UB; binary index 7; optim.step 4; tracer 13CLinoKinJ
sum of fluxes v55+v56+v57+v58+v59+v60+v61; stage LB; binary index 2; optim.step 1; tracer 13CGln
